Column,pk,name,equipment,teaching,typeAccessibility,contentURL,locality,province,postalCode,neighborhood,district,coordX,coordY,phone,fax,email,titularity,laborDay,schedule,extraUses,otherUses,yardCategory,yardNumber,accessibilityComment,directAccess,otherAccess,wcAccessibles,shade,furniture,services,surface,conservationState,greenZonesProximity,facilitiesProximity,observations,bus,renfe,metro,address
63,5140,Colegio público doctor severo ochoa,"Comedor, transporte, planes de mejora",Enseñanza: educacion infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=67dca3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28032,Ambroz,Vicalvaro,448041,4473688,917 752 715,917 750 711,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-18:00,"Colegio de polaco, sábados 9:00-14:00",I,1,Si,Si (c/ ezcaray),No,Si (en infantil),2 porches (45 y 100m²),"Porterías, canastas, columpios",Alumbrado,"3171,8",Bueno (pero pinturas desconchadas),Parque cuña verde de vicálvaro (0m),"Biblioteca vicálvaro (900m), centro cultural el madroño (900m)",Nan," 4 , 100 , 106 , 130",Nan,Nan,Calle ezcaray 3
64,5141,Colegio público doctor tolosa latour,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=bceca3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28018,Palomeras Sureste,Puente De Vallecas,445505,4470356,91 778 47 94,917 777 679,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:30,-,I,4,Si (solo 1 patio),Si,-,"Sí, en dos patios","Si (12x7, 7x19, 12x7)","Porterías, canastas","Alumbrado, fuentes","3150,08",Deteriorado (solera y gradas necesitan arreglo),"Parque lineal de palomeras (90m), parque de la paloma (250m)",Biblioteca miguel hernandez (300m),Nan," 54 , 144",Nan,Nan,Calle asturianos 4
65,6024,Colegio público eduardo rojo,"Comedor, horario ampliado, integración preferente (trastornos generales del desarrollo), enseñanza biling&amp;uuml;e",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=f6c4ae10c471c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28018,Palomeras Bajas,Puente De Vallecas,443745,4470970,914 774 560,914 784 525,Nan,Ayuntamiento,Lunes-viernes continua,9:00-15:00,-,-,Ii,1,Si,Si (c/ eduardo rojo),-,Sí,Si,"Porterías, canastas, columpios, bancos, zona de tierra",No,"2483,987",Bueno,"Parque del payaso fofó (300m), parque amós acero (350m)",Cdm vallecas (750m),Nan," 57, 103, 111, 144, 310",Nan,Nan,Calle eduardo rojo 5
66,5144,Colegio público eeuu - huarte de san juan,"Comedor, transporte, planes de mejora- horario ampliado",Enseñanza: educación infantil - primaria enseñanza bling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=020da3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28008,Casa De Campo,Moncloa-Aravaca,437765,4475600,915 418 978 - 915 420 841,915 594 699,Nan,Ayuntamiento,Lunes-viernes,9:00-16:00,Actividades extraescolares 16:00-20:00,Nan,Ii,3,Si,Si (patio exterior),-,Si,Si,"Porterías, canastas",No,"739,92",Nan,Bueno,"Río manzanares (140m), casa de campo (750m)","Centro cultural agustín díaz (190m), cdm jose mª cagigal (550m)"," 41 , 75",Nan,Nan,Paseo comandante fortea 71
67,42014,Colegio público el espinillo,Comedor,Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=0d77598d1351c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28041,Los Rosales,Villaverde,441135,4468120,917 237 434 - 913 182 512,917 237 434,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,"Actividades extraescolares, centro de día cruz roja 16:00-20:00",-,Iii,3,No (escalones),Si (c/ unanimidad y c/ círculo),-,Si,No,"Porterías, canastas",Alumbrado,"3970,37",Mejorable (suelos deteriorados),Nan,Nan,Nan," 22 , 59 , 85 , 79 , 123",Nan,Nan,Calle unanimidad 1
68,176810,Colegio público el greco,"Comedor, horario ampliado",Enseñanza: segundo ciclo de infantil - educación primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=b9f34b6faa61c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28021,Butarque,Villaverde,442785,4466530,917 100 008 - 917 973 463,917 983 281,Cp.elgreco.madrid@educa.madrid.org,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-18:30,-,Iii,3,Si (patio delantero),Si,-,No,No,"Porterías, canastas",No ,"5708,12",Mejorable (grietas en suelo),Nan,Nan,Nan," se los rosales , 85 , 123",Villaverde bajo,Nan,Calle estefanita 7
69,5220,Colegio público el madroño,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=571da3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28038,Numancia,Puente De Vallecas,444572,4472813,915 014 668,915 013 612,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares y alfabetización de adultos 16:00-17:15,"Asociación de vecinos 17:30-19:30 lunes, miércoles y jueves ",I,3,Si (faltan rampas para accesibilidad total en todo el patio),Si (c/ marismas),-,Sí,Un patio completamente cubierto,"Ajedrez, columpio, canastas, porterías",No,"2066,1088",Algo deteriorado (grietas desde febrero 2021),Parque cerro del tío pío (300m),-,Nan," 63 , 141 , 143 , e",Nan,Nan,Calle las marismas 14
70,5339,Colegio público el quijote,"Comedor, transporte, horario ampliado, planes de mejora, convenio con british council",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=ac2da3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28031,Casco H.Vallecas,Villa De Vallecas,447045,4469557,913 800 214,913 800 246,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Nan,-,I,1,Si,Si (c/ puerto de porzuna),-,Si,"Porche (en zona infantil), arbolado","Porterías, canastas, juegos",Alumbrado,"3021,29 +  2059,80",Aceptable,Parque navamures (230m),"Cdm miguel guillen (120m), espacio almudena grandes (260m), biblioteca gerardo diego (500m)",Nan," 54 , 142",Nan,Congosto,Calle fuentidueña 4
71,64474,Colegio público el sol,"Comedor, transporte, horario ampliado, integración preferente: audtitivos- planes de mejora",Enseñanzas   segundo ciclo de educación infantil educación primaria  educación especial:  educación infantil  educación básica obligatoria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=e667598d1351c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28022,Arcos,San Blas-Canillejas,448112,4474999,91 777 76 79  (colegio público) / 913 060 345 / 913 060 347 (educación especial),913 060 347,Cp.elsol.madrid@educa.madrid.org (educación especial),Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,Actividades deportivas 17:00-20:30,Ii,3,Si,Si,Nan,Si,"Soportales y techados, arbolado","Porterías, canastas",Alumbrado débil,"743,18",Bueno (recién arreglado),Nan,Nan,Colegio de educación especial. ," 48 , 109 , 140",Nan,Nan,Avenida canillejas a vicalvaro 82
72,5145,Colegio público emilia pardo bazán,"Comedor, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e -,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=f14da3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28005,Embajadores,Centro,440135,4473146,915 306 059,915 275 184,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-18:00,-,I,2,Si,Si (c/ casino),Acceso principal del centro,Sí,Toldo (destruido),Canastas,Alumbrado,"360,15",Regular,Parque casino de la reina (6m),"Espacio tabacalera (230m), centro cultural la corrala (550m)",Frente a un parque muy amplio. ,"27, 34, 36, 41, 60, 119, 148, c1, c2", embajadores,Embajadores,Calle ventorrillo 14
73,5148,Colegio público ermita del santo,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=9c6da3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28011,Puerta Del Angel,Latina,438623,4473619,914 642 590,914 642 590,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Ludoteca 16:00-17:30,-,Iii,5,No,Si,-,No,Si,"Porterías, juegos",Alumbrado,"1977,37",-,Nan,Nan,Nan," 25 , 138",Nan,Nan,Paseo ermita del santo 18
74,5149,Colegio público escuelas aguirre,"Comedor, horario ampliado, integración (preferentemente auditivos)",Enseñanza: educacion infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=e18da3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28009,Niño Jesus,Retiro,442787,4473989,915 741 864,915 044 683,Nan,Ayuntamiento,Lunes-viernes partida,9:00-16:00,Actividades extraescolares 16:00-18:00,"Actividades deportivas 18:00-20:00, torneos deportivos fin de semana",Ii,2,Si,Si,-,Si,2 porches en primaria (444m²),"Canastas, porterías, bancos, columpios","Alumbrado, 2 fuentes","3836,4691",Bueno (reformas recientes),Parque del retiro (400m),"Centro deportivo smp (300m), biblioteca popular jardines de herrero palacios (450m), biblioteca popular del ayuntamiento (650m)",Nan," 20 , 26 , 63 , 69 , 152",Nan,Nan,Calle pio baroja 4
75,5150,Colegio público escuelas bosque,"Comedor, transporte, integración (preferentemente motóricos), horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,1,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=379da3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28039,Valdezarza,Moncloa-Aravaca,439697,4479154,91 450 50 60- 91 459 05 57,91 459 05 57,Cp.escuelasbosque.madrid@educa.madrid.org,Ayuntamiento,Lunes-viernes,9:00-16:00,Actividades extraescolares 16:00-17:30,Asociación deportiva 18:00-19:00,I,2,Si,Si,-,Si,Si,"Porterías, canastas, bancos, columpios","Alumbrado, fuentes","4507,08",Nan,Bueno,"Dehesa de la villa (450m), parque rodriguez sahagún (650m)","Cdm fernando martín (220m), centro cultural juan gris (260m), biblioteca manuel vázquez montalban (450m)"," 44 , 64 , 126 , 127 , 128 , 132",Nan,Francos rodríguez,Avenida santo angel de la guarda 4
76,5245,Colegio público esperanza,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=8cada3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28043,Canillas,Hortaleza,445250,4479176,913 003 012,913 003 012,Nan,Ayuntamiento,Lunes-viernes partida,7:30-17:30,Actividades extraescolares 16:00-18:00,-,Iii,2,No (escaleras de acceso),Si (c/ andorra y c/ gomeznarro),-,No,No,"Porterías, canastas ",No,"1382,62",Aceptable,Nan,Nan,Nan," 73 , 120 , 122",Nan,Esperanza,Calle andorra 12
77,5152,Colegio público eugenio maría de hostos,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=27dda3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28039,Valdezarza,Moncloa-Aravaca,439152,4480079,913 736 366,913 866 937,Nan,Ayuntamiento,Lunes-viernes,9:00-16:00,Actividades extraescolares 16:00-17:00,Nan,Ii,2,Si (una entrada),Si,-,Si,Porche pequeño,"Porterías, canastas, bancos, columpios",Alumbrado,"3510,71",Nan,Bueno,Parque luisa carnés (270m),"Centro cultural julio cortázar (350m), cdm ciudad de los poetas (450m)"," 42 , 127 , 132",Nan,Antonio machado,Calle valdevarnes 26
78,5155,Colegio público felipe ii,"Comedor, planes de mejora",Enseñanza: educación infantil - primaria,1,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=c10ea3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28029,Almenara,Tetuan,440718,4480483,913 157 353,917 339 393,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00 ,Actividades extraescolares 16:00-17:00,Federacion madrileña de pingpong 17:00-22:00,Ii,2,Si,"Si (via limite, av. de asturias)  ",-,Si (en gimnasio),"Porche, arbolado","Porterías, canastas, columpios",No,"6394,34",Mejorable (pistas muy deterioradas),Parque de la ventilla ( 0m ),"Polideportivo antonio díaz miguel (450m), centro cultural eduardo úrculo (550m), biblioteca maría zambrano (550m),  casa de la juventud (650m)",Colegio colindante con espacio verde público (parque de la ventilla).  varias instalaciones fuera del centro escolar (gimnasio) ," 42 , 147",Nan,Ventilla,Avenida asturias 70
79,5156,Colegio público fernández de moratín,"Comedor, horario ampliado, comedor, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=171ea3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28008,Casa De Campo,Moncloa-Aravaca,438305,4475377,915 479 787 - 915 596 791,915 596 791,Nan,Ayuntamiento,Lunes-viernes partida,9:00-16:00,Actividades extraescolares 16:00-17:00,"Uso de pistas deportivas 16:00-18:15, grupo huerteamos viernes 17:00-19:00",I,3,Si,Si (av. de valladolid),-,Si,Arbolado,"Porterías, canastas, bancos, grada",No,"3070,76",Nan,Bueno (recién reformado),"Parque de la bombilla (0m), río manzanares (150m)","Idm san antonio de la florida (94m), centro cultural agustín días (700m)"," 46 , 75",Nan,Nan,Avenida valladolid 2
80,5158,Colegio público fernando el católico,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,1,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=6c2ea3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28015,Arapiles,Chamberi,439802,4476182,914 442 902,914 469 251,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades deportivas y servicios sociales 16:00-20:00,-,Iii,2,Si,Si (un patio en uso hasta 20:00),-,No,No,"Porterías, canastas, bancos",Alumbrado ,"262,4",Aceptable,"Parque jose luis sampedro (120m), jardines concejal alejandro muñoz (250m)","Centro cultural galileo (90m), biblioteca dionisio segura (600m), cdm vallehermoso (900m)","Patios disgregados, uno de ellos con acceso a calle "," 16 , 61 , 149",Nan,Quevedo,Calle fernando el catolico 16
81,5159,Colegio público filósofo séneca,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=b14ea3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28033,Pinar Del Rey,Hortaleza,444885,4481058,917 638 145,913 817 216,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,Entrenamientos fútbol asociación alacrán 17:00-18:15,Iii,2,Si (pero barreras en los patios),Si (c/ sta adela),C/ abizanda,No,Si (15x4m),"Porterías, canastas, juegos","Alumbrado, fuentes","3191,31",Bueno,Nan,Polideportivo municipal hortaleza,Nan," 9 , 107",Nan,Parque de santa maría,Calle santa adela 21
82,5160,Colegio público fontarrón,"Comedor, transporte, integración (preferentemente motóricos), horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,1,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=075ea3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28030,Pavones,Moratalaz,446341,4472013,917 720 378,913 050 045,Cp.fontarron.madrid@educa.madrid.org,Ayuntamiento,Lunes-viernes continua,9:30-16:30,Actividades extraescolares 16:30-17:30,Centro de día cruz roja 16:30-20:30,I,3,Si,Si (c/ arroyo fontarron),-,Si,Porches,"Porterías, canastas, bancos, mesas, juegos",Alumbrado,"4042,19",Bueno,Área infantil fontarrón (100m),"Polideportivo moratalaz (500m), centro sociocultural moratalaz (700m)",Nan," 8 , 20 , 30 , 45 , 63 , 71 , 100 , 143 , e",Nan,Nan,Calle arroyo fontarron 24
83,5161,Colegio público francisco arranz,"Transporte, comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=5c6ea3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28044,Las Aguilas,Latina,435262,4469652,917 066 882,917 066 882,Nan,Comunidad,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:30,-,Ii,1,Si,Si (c/ muntadas),Principal del centro,Si,No,"Porterías, canastas, arenero, bancos",No,"2689,44",Mejorable (pistas sin asfaltar),Nan,Nan,Entrada con escaleras., 34,Nan,Nan,Calle sondica 2
84,5162,Colegio público francisco de goya,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=a18ea3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28011,Puerta Del Angel,Latina,438250,4473651,914 637 472,914 633 270,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-19:00,-,Iii,2,No,Si,-,Si,2 techados,Canastas,Alumbrado,"462,83",-,Nan,Nan,Nan," 31 , 33 , 36 , 39 , 65 , 138",Nan,Puerta del angel,Calle antillon 23
85,5163,Colegio público francisco de luis,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=f69ea3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28030,Media Legua,Moratalaz,443975,4473345,914 394 600,913 284 275,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,-,-,I,3,Si,Si (c/ corregidor rodrigo rodríguez),C/ corregidor diego de valderrábanos,Si,"Porches, arbolado","Porterías, canastas, columpios",No,"1096,98 + 1042,01 + 632,80",Mejorable (instalaciones muy deterioradas),Parque ramón areces (230m),Biblioteca miguel delibes (850m),Nan," 8 , 20 , 30 , 32 , 113",Nan,Estrella,Calle corregidor rodrigo rodriguez 5
86,5164,Colegio público francisco de quevedo,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=4caea3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28007,Pacifico,Retiro,442357,4472902,915 515 211,914 333 827,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,-,-,Iii,1,Si,Si (c/ narciso serra),Principal (c/ granada),Si,Porche pequeño,No,Alumbrado,"150,898",Regular,Parque del retiro (500m),"Cdm daoiz y velarde (500m), biblioteca elena fortún (750m)",Nan," 24 , 37 , 54 , 57 , 102 , 141 , 152",Nan,Menéndez pelayo,Calle granada 16
87,5165,Colegio público francisco fatóu,"Comedor, transporte, horario ampliado, planes de mejora, integración preferente (trastornos generales del desarrollo)",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=91cea3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28031,Casco H.Vallecas,Villa De Vallecas,447502,4469673,913 321 050,913 323 222,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,-,Iii,2,Si,Si (c/ camino de la suerte),-,No,"Porche, arbolado","Porterías, canastas, columpios",Alumbrado,"1630,65",Bueno (patio infantil mejorable),-,"Campo mar abierto (0m), espacio almudena grandes (350m), biblioteca gerardo diego (500m)",Nan," 58 , 142",Nan,Nan,Camino suerte 23
88,5166,Colegio público francisco ruano,Planes de mejora,Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=e6dea3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28053,Entrevias,Puente De Vallecas,442826,4470162,917 862 196,917 862 196,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,-,-,I,1,Si,Si,Puerta principal,Sí,"Toldo muy pequeño, arbolado","Canastas, juegos, mesas de juego",Alumbrado (estropeado),"2649,36",Deteriorado,Parque de la hora feliz (350m),Cdm entrevías (350m),Nan,"24 , 102 , 111 , 144", entrevias,Nan,Calle almuradiel 150
89,5167,Colegio público fray junípero serra,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=3ceea3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28038,Numancia,Puente De Vallecas,444146,4471842,914 304 882,914 376 926,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,"Actividades extraescolares 16:00-17:00, programas municipales16:00-20:00","""quedamos al salirde clase"" y apoyo psicopedagógico 16:00-20:00",Iii,3,Si,Si,Si,"Sí, con acceso desde gimnasio",No,"Porterías, canastas, juegos",Fuente,"2312,53",-,Parque cerro del tío pío (140m),Centro cultural alberto sanchez (300m),Nan," 10 , 24 , 54 , 57 , 58 , 310 , 410",Nan,Nueva numancia,Camino valderribas 120
90,176824,Colegio público gabriela mistral,"Comedor, horario ampliado",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=0f044b6faa61c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28050,Valverde,Fuencarral-El Pardo,443443,4484329,913 586 549,913 586 557,Nan,Ayuntamiento,Lunes-viernes partida,9:00-16:00,Actividades extraescolares 16:00-18:00,Asociaciones deportivas 18:00-23:00,Iii,2,Si,Si,-,No,No,"Porterías, canastas",Fuente,"2095,55",Bueno,Nan,Nan,Nan," 172, 176",Nan,Las tablas,Calle mirallos 3
91,5082,Colegio público gandhi,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=810fa3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28017,Pueblo Nuevo,Ciudad Lineal,446006,4474986,917 544 592 - 913 044 982,913 045 222,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,Centro de día cruz roja 16:00-20:00,Iii,2,Si,Si (c/ gandhi),-,No,Si (100m²),"Porterias, canastas, bancos, rocódromo, arenero con juegos","Alumbrado, fuente","3306,392",Regular (necesita mejoras),"Parque santurce (270m), parque arriaga (350m), parque de los tilos (400m)","Biblioteca pablo neruda (900m), cdm pueblo nuevo (900m)",Nan," 70 , 109 , 106",Nan,García noblejas,Calle gandhi 10
92,5168,Colegio público garcía morente,"Comedor, transporte, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=d61fa3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28053,Entrevias,Puente De Vallecas,443505,4469411,917 852 016,917 856 013,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,-,"Cruz roja 16:00-20:00, entrenamientos de fútbol",Ii,1,Si (a una parte),Si,C/ barros,Sí,2 porches pequeños,"Porterías, canastas, pendientes de instalar juegos",Alumbrado,"2246,8",Actualmente en obras,Parque forestal de entrevías (30m),"Cdm alberto garcía (240m), centro cultural pozo de tío raimundo (500m)",Nan," 102 , 103 , 111",Nan,Nan,Ronda sur 229
93,5169,Colegio público garcilaso de la vega,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=2c2fa3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28043,Canillas,Hortaleza,446243,4479785,913 882 060,917 161 701,Nan,Ayuntamiento,Lunes-viernes partida,9:00-16:00,Actividades extraescolares 16:00-18:00,-,Ii,2,Si,Si,-,Si,No,"Porterías, canastas, juegos",Alumbrado,"2243,66 + 1407,26",Bueno,Nan,Nan,Patios irregulares con pistas deportivas," 73 , 112 , 120",Nan,Canillas,Calle trefacio 18
94,5171,Colegio público giner de los ríos,"Comedor, transporte, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=c65fa3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28053,Entrevias,Puente De Vallecas,443256,4470098,917 858 021,917 858 021,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares,-,Ii,2,Si,Si,-,Sí,Si,"Porterías, canastas, columpios, bancos",No,"2876,27",Bueno,Parque forestal de entrevías (450m),"Cdm entrevías (550m), centro cultural paco rabal (950m)",Nan,"24 , 103 , 111 , 144", entrevias,Nan,Calle membezar 25
