Num_Inscripcion,Razon_Social,Tipo_Via,Calle,Numero,Aproximacion,Cod_Postal,Poblacion,CIF,Fecha_Registro,Primer_Tlfn,Email,Internet,Distrito,Barrio,Categoria,Ambito,Num_Socios,NumInscripcion_Fed_Vinculada,RazonSocial_Fed_Vinculada
3919,ACTIVAT EN DERECHOS HUMANOS,AVENIDA,ALBUFERA,30,2º-A,28038,MADRID,G01884014,27/04/2021,910279881,activatenddhh@gmail.com,http://www.activatabogados.com,PUENTE VALLECAS,SAN DIEGO,DE DERECHOS HUMANOS,ESTATAL,26,,
3918,CLUB JUVENTUD VALLEKAS,CALLE,MILMARCOS,8,PISO 2º. LETRA A,28031,MADRID,G04951208,27/04/2021,644464971,juventudvallekas@gmail.com,http://www.juventudvallekas.com,VILLA VALLECAS,CASCO H.VALLECAS,DEPORTIVAS,COMUNIDAD DE MADRID,502,,
3916,ASOCIACION CULTURAL POETRY SLAM MADRID,CALLE,SAN ANDRES,22,PISO 2º. PUERTA 7,28004,MADRID,G86152329,23/04/2021,654072939,poetryslammadrid@gmail.com,,CENTRO,UNIVERSIDAD,CULTURALES Y CASAS REGIONALES,ESTATAL,8,,
3915,AGUIRRE ESCUELA DE DEPORTE,CALLE,ALCALDE SAINZ DE BARANDA,107,ESCALERA 3. PLANTA 5ª. PUERTA A,28007,MADRID,G87758892,22/04/2021,609675784,aguirre.escuela.deldeporte@gmail.com,http://www.clubaguirre.es,RETIRO,ESTRELLA,DEPORTIVAS,COMUNIDAD DE MADRID,31,,
3914,ASOCIACION CULTURAL KULTURE MARKET,CALLE,SOMONTIN,69,6º-B,28033,MADRID,G02917474,22/04/2021,625109364,kulturemarket@yahoo.com,,HORTALEZA,APOSTOL SANTIAGO,CULTURALES Y CASAS REGIONALES,COMUNIDAD DE MADRID,34,,
3912,XXX,CALLE,ESTOCOLMO,1,,28022,MADRID,14307604V,14/04/2021,,,,SAN BLAS-CANILLEJAS,ROSAS,CULTURALES Y CASAS REGIONALES,BARRIO,,,
3911,ASOCIACION EDAI CONSTRUYENDO BIENESTAR,CALLE,SANCHEZ BARCAIZTEGUI,23,,28007,MADRID,G88619796,07/04/2021,616293573,edai@edai.es,,RETIRO,PACIFICO,DE PERSONAS CON DISCAPACIDAD,ESTATAL,4,,
3910,CLUB DEPORTIVO FUENCARRAL,CALLE,AFUERAS A VALVERDE,35,1º-D,28034,MADRID,G28836567,30/03/2021,629294106,gmzscz@gmail.com,,FUENCARRAL-EL PARDO,VALVERDE,DEPORTIVAS,BARRIO,120,,
3906,AEROPUERTO PARTICIPA,CALLE,GARGANCHON,111,PORTAL 1. PLANTA 1ª. PUERTA B,28042,MADRID,G01727825,16/02/2021,644011435,info@aeropuertoparticipa.es,http://www.aeropuertoparticipa.es,BARAJAS,AEROPUERTO,VECINALES,MUNICIPIO,8,,
3905,C D A V SANTA ANA,CALLE,HOSPITALET DE LLOBREGAT,S/N,,28034,MADRID,G80460371,16/02/2021,917350851,DAVSANTAANA@HOTMAIL.ES,,FUENCARRAL-EL PARDO,VALVERDE,DEPORTIVAS,COMUNIDAD DE MADRID,97,,
3904,ASOCIACION CULTURAL EL RASTRO PUNTO ES. DE MADRID,CALLE,RUDA,11,ESCALERA EXTERIOR. PISO 3º. PUERTA DCHA.,28005,MADRID,G82854464,16/02/2021,637502129,elrastropuntoes@gmail.com,,CENTRO,EMBAJADORES,COMERCIANTES.EMPRESARIOS.PROFESIONALES Y AUTÓNOMOS,COMUNIDAD DE MADRID,610,,
3903,NACION HUMANA UNIVERSAL,CALLE,ANTONIO GRILO,3,4º - C,28015,MADRID,G84439769,16/02/2021,636877952,nhu.latina@gmail.com,,CENTRO,UNIVERSIDAD,DE DERECHOS HUMANOS,ESTATAL,29,,
3902,ASOCIACION ESPAÑOLA PARA EL SINDROME DE RUBINSTEIN TAYBI - AESRT,AVENIDA,ALFONSO XIII,75,PUERTA 4,28016,MADRID,G86366432,11/02/2021,691369039,info@rubinsteintaybi.es,http://www.rubinsteintaybi.es,CHAMARTIN,HISPANOAMERICA,DE PERSONAS CON DISCAPACIDAD,ESTATAL,240,,
3901,ASOCIACION CULTURAL DALE QUE DALE,CALLE,ALONSO CANO,34,3º D,28003,MADRID,G86321304,11/02/2021,610355939,dalequedaleteatro@gmail.com,,CHAMBERI,RIOS ROSAS,CULTURALES Y CASAS REGIONALES,ESTATAL,3,,
3898,ASOCIACION CULTURAL LA COMPAÑIA DEL KRISOL,CALLE,SAN FAUSTINO,23,,28022,MADRID,G82232646,11/02/2021,637704514,aclacompaniadelkrisol@gmail.com,,SAN BLAS-CANILLEJAS,CANILLEJAS,CULTURALES Y CASAS REGIONALES,ESTATAL,97,,
3897,ASOCIACION REDMADRE MADRID,CALLE,GENERAL RAMIREZ DE MADRID,29,PLANTA BAJA,28020,MADRID,G86739588,11/02/2021,639009848,recursosmadrid@redmadre.es,http://www.redmadre.es/madrid,TETUAN,CASTILLEJOS,DE MUJERES,COMUNIDAD DE MADRID,7,,
3894,ASOCIACION PARA LA DEFENSA DE LAS COMPETENCIAS MUNICIPALES (ADECOM),CALLE,HIERBABUENA,3,1º - R,28039,MADRID,G02638633,11/02/2021,639608038,asociacionadecom@outlook.es,,TETUAN,BERRUGUETE,VECINALES,COMUNIDAD DE MADRID,6,,
3893,CLUB DEPORTIVO ELEMENTAL HOCKEY PINGÜINOS DE MADRID CENTRO,CALLE,VALLE DEL SILENCIO,30,BAJO. PUERTA W,28039,MADRID,G02854800,11/02/2021,676288478,chpinguinosmadrid@gmail.com,,MONCLOA-ARAVACA,VALDEZARZA,DEPORTIVAS,COMUNIDAD DE MADRID,187,,
3892,SOLIDARIDAD INTERNACIONAL PARA EL DESARROLLO - SOLIDES,CALLE,AREVALO,20,3º-C,28025,MADRID,G87043444,11/02/2021,649578757,infosolides@gmail.com,http://www.solidesweb.com,CARABANCHEL,VISTA ALEGRE,DE INMIGRANTES,ESTATAL,9,,
3890,ASOCIACION DE VECINOS CHAMARTIN HABLA,CALLE,VICTOR ANDRES BELAUNDE,52,BAJO. PUERTA CENTRO,28016,MADRID,G88307798,10/02/2021,679290027,enrique_ort.go@hotmail.com,,CHAMARTIN,HISPANOAMERICA,VECINALES,COMUNIDAD DE MADRID,17,,
3889,ASOCIACION PARA LA INCONTINENCIA ANAL (ASIA),CALLE,GENERAL PALANCA,12,,28045,MADRID,G66054909,10/02/2021,692183394,info@asiasuport.org,http://www.asiasuport.org/es,ARGANZUELA,CHOPERA,DE SALUD Y APOYO MUTUO,ESTATAL,284,,
3888,ASISTENCIA PEDAGOGICA ORIENTACION Y APOYO AL RETORNO APOYAR,CALLE,MONTERA,34,5º 6,28013,MADRID,G28711232,08/02/2021,608722308,apoyarmadrid@hotmail.com,http://www.apoyarmadrid.org,CENTRO,SOL,OTRAS DE ACCIÓN SOCIAL,ESTATAL,3132,,
3887,ASOCIACION DE COLEGIOS MAYORES DE MADRID,CALLE,RECTOR ROYO-VILLANOVA,6,,28040,MADRID,G82213489,08/02/2021,606785294,director@cmalcala.es,,MONCLOA-ARAVACA,CIUDAD UNIVERSITARIA,DEPORTIVAS,COMUNIDAD DE MADRID,39,,
3885,CLUB DEPORTIVO ELEMENTAL LOS BRONCOS,CALLE,LUCAS MALLADA,4,5º - B,28037,MADRID,G88616701,08/02/2021,602184651,losbroncos3030@gmail.com,,SAN BLAS-CANILLEJAS,HELLIN,DEPORTIVAS,COMUNIDAD DE MADRID,30,,
3884,CLUB DEPORTIVO BASICO PIRAGUA MADRID,CARRETERA,EL PARDO,2,,28035,MADRID,G84701564,04/02/2021,628659012,fmp@piraguamadrid.com,http://www.cdbpiraguamadrid.es/,MONCLOA-ARAVACA,CIUDAD UNIVERSITARIA,DEPORTIVAS,COMUNIDAD DE MADRID,1118,,
3883,MADRID ALOJA (ASOCIACION DE PARTICULARES. PEQUEÑOS PROPIETARIOS Y GESTORES DE VIVIENDAS DE ALQUILER,CALLE,MONTESA,43,PISO 6º. PUERTA C.,28006,MADRID,B87080446,01/02/2021,609559045,MADRIDALOJA@GMAIL.COM,http://www.madridaloja.org,SALAMANCA,LISTA,VECINALES,MUNICIPIO,362,,
3882,ASOCIACION IN GENERO (INTERCULTURALIDAD Y GENERO),CALLE,MESON DE PAREDES,83,1º DCHA.,28012,MADRID,G13426671,01/02/2021,722654794,INTERGENERO@HOTMAIL.COM,,CENTRO,EMBAJADORES,DE MUJERES,COMUNIDAD DE MADRID,451,,
3881,ASOCIACION SOCIO CULTURAL DESPENSA SOLIDARIA DE LOS CARMENES,CALLE,ESCALONILLA,19,,28047,MADRID,G02766475,29/01/2021,645474224,despensasolidarialoscarmenes@gmail.com,http://dsloscarmenes.org,LATINA,ALUCHE,DE SALUD Y APOYO MUTUO,COMUNIDAD DE MADRID,5,,
3880,EL BANCAL DE CHAMBERI,CALLE,RAIMUNDO FERNANDEZ VILLAVERDE,57,PISO 5º. PUERTA IZQUIERDA,28003,MADRID,G88645080,01/02/2021,686810852,hola@elbancaldechamberi.org,http://www.elbancaldechamberi.org,TETUAN,CUATRO CAMINOS,VECINALES,ESTATAL,14,,
388,ASOCIACION DE PADRES DE ALUMNOS COLEGIO MARIA INMACULADA HERMANAS DE LA CARIDAD,PASEO,GENERAL MARTINEZ CAMPOS,18,,28010,MADRID,G78055787,19/05/1989,914466119,miampa@minmaculada.org,http://www.minmaculada.org,CHAMBERI,ALMAGRO,DE MADRES Y PADRES DEL ALUMNADO,BARRIO,440,775,FEDERACION CATOLICA  DE ASOCIACIONES DE PADRES DE FAMILIA Y PADRES DE ALUMNOS DE MADRID - FECAPA
3879,CLUB AGRUPACION DEPORTIVA EL PARDO,CAMINO,CARRETERA DE EL PARDO A COLMENAR VIEJO,11,,28049,MADRID,G78353448,01/02/2021,651811148,oficial.adelpardo@gmail.com,,FUENCARRAL-EL PARDO,EL GOLOSO,DEPORTIVAS,COMUNIDAD DE MADRID,761,,
3877,CLUB DEPORTIVO ELEMENTAL FENIX FUTBOL CLUB,CALLE,ISABEL COLBRAND,18,PORTAL E. PISO 3º. PUERTA 1,28050,MADRID,G01688274,01/02/2021,620509948,correofenixfc@gmail.com,,FUENCARRAL-EL PARDO,VALVERDE,DEPORTIVAS,COMUNIDAD DE MADRID,6,,
3876,ASOCIACION MADRILEÑA DE OFICIOS ARTESANOS (A.M.O.A.),CALLE,ALMIRANTE,23,5º IZQDA,28004,MADRID,G01685825,01/02/2021,696835282,artesanosamoa@gmail.com,,CENTRO,JUSTICIA,COMERCIANTES.EMPRESARIOS.PROFESIONALES Y AUTÓNOMOS,COMUNIDAD DE MADRID,107,,
3875,CLUB DEPORTIVO BASICO OLIMPICO HORTALEZA,CALLE,SEO DE URGEL,21,,28033,MADRID,G83257048,01/02/2021,679008788,info@cdohortaleza.com,,HORTALEZA,PINAR DEL REY,DEPORTIVAS,COMUNIDAD DE MADRID,12,,
3873,CLUB DEPORTIVO BASICO MADRID VELOCIDAD,PLAZA,LEGAZPI,1,,28045,MADRID,G84998517,01/02/2021,616686747,madridvelocidad@yahoo.es,,ARGANZUELA,DELICIAS,DEPORTIVAS,COMUNIDAD DE MADRID,72,,
3871,ASOCIACION NACIONAL DE PSICOLOGIA SANITARIA,CALLE,IVAN PAVLOV,6,,28049,MADRID,G88352950,26/01/2021,647333474,info@psicosanitaria.es,,FUENCARRAL-EL PARDO,EL GOLOSO,COMERCIANTES.EMPRESARIOS.PROFESIONALES Y AUTÓNOMOS,ESTATAL,157,,
3870,CLUSTER MADRID CAPITAL MUNDIAL DE LA CONSTRUCCION. LA INGENIERIA Y LA ARQUITECTURA,PLAZA,JACINTO BENAVENTE,2,4º,28012,MADRID,G01605781,26/01/2021,647366562,secretario@madridwcc.com,,CENTRO,CORTES,COMERCIANTES.EMPRESARIOS.PROFESIONALES Y AUTÓNOMOS,ESTATAL,80,,
3869,ESPORANEA,CALLE,CORREGIDOR DIEGO DE VALDERRABANO,25,PORTAL I. 7º A,28030,MADRID,G88540398,26/01/2021,680116303,nfo@esporanea.org,,MORATALAZ,MEDIA LEGUA,OTRAS DE ACCIÓN SOCIAL,ESTATAL,5,,
3867,ASOCIACION PARA LA DEFENSA DE LA ATENCION A LA ANOREXIA NERVIOSA Y BULIMIA (ADANER),CALLE,AVIADOR ZORITA,50,PISO 1º PUERTA IZQDA,28020,MADRID,G80214034,22/01/2021,915556761,info@adaner.org,http://www.adaner.org,TETUAN,CUATRO CAMINOS,DE SALUD Y APOYO MUTUO,ESTATAL,441,,
3866,RESIDENTES DE LA PLAZA MAYOR DE MADRID Y ALEDAÑOS (RPMMAD),CALLE,CAVA DE SAN MIGUEL,7,,28005,MADRID,G01919000,21/01/2021,664181934,ruidosplazamayor@post.com,,CENTRO,SOL,VECINALES,DISTRITO,30,,
3863,ASOCIACION TARTARUGA,CALLE,PEDRO DOMINGO,4,,28025,MADRID,G85826345,21/01/2021,679836888,latartaruga.tartaruga@gmail.com,,CARABANCHEL,PUERTA BONITA,CULTURALES Y CASAS REGIONALES,COMUNIDAD DE MADRID,11,,
3860,ASOCIACION DANZA A NUESTRO RITMO,CALLE,ASURA,125,,28043,MADRID,G88359674,21/01/2021,609056262,danzanuestroritmo@gmail.com,http://asociacion.isabelolavideflamenco.com,CIUDAD LINEAL,COLINA,DE PERSONAS CON DISCAPACIDAD,COMUNIDAD DE MADRID,26,,
3859,ASOCIACION UNID,CALLE,AGUILAFUENTE,29,,28039,MADRID,G88578877,21/01/2021,689966817,asociacionunid@gmail.com,,MONCLOA-ARAVACA,VALDEZARZA,OTRAS DE ACCIÓN SOCIAL,ESTATAL,3,,
3858,HERSTORICAS. HISTORIA. MUJERES Y GENERO,CALLE,LA CANCION DEL OLVIDO,12,7º DCHA,28041,MADRID,G87823654,21/01/2021,638980437,,,VILLAVERDE,LOS ANGELES,CULTURALES Y CASAS REGIONALES,COMUNIDAD DE MADRID,8,,
3857,ONG CANAL SENIOR POST55,PASEO,CASTELLANA,123,6º A,28046,MADRID,G87899324,21/01/2021,609152923,BBIENZ@CANALSENIOR.ORG,http://WWW.CANALSENIOR.ORG,TETUAN,CASTILLEJOS,DE PERSONAS MAYORES. JUBILADAS Y PENSIONISTAS,ESTATAL,4152,,
3855,ADIPAVHR,CALLE,CONCEPCION ARENAL,6,BAJO PUERTA P,28004,MADRID,G88297767,26/10/2020,637032172,kioskocallao@hotmail.com,,CENTRO,UNIVERSIDAD,COMERCIANTES.EMPRESARIOS.PROFESIONALES Y AUTÓNOMOS,COMUNIDAD DE MADRID,6,,
3854,ASOCIACION DE MUJERES DE LA INDUSTRIA DE LA MUSICA - MIM,PASEO,PINTOR ROSALES,82,BAJO IZQUIERDA,28008,MADRID,G87650008,13/10/2020,915215160,M.TRILLO@GABEIRASYASOCIADOS.COM,,MONCLOA-ARAVACA,ARGUELLES,DE MUJERES,ESTATAL,372,,
3853,ASOCIACION DE FAMILIAS ENLAZADAS POR UNA CRIANZA SALUDABLE,CALLE,ALFONSO FERNANDEZ CLAUSELLS,1,,28035,MADRID,G87574737,13/10/2020,686250409,familiasenlazadas@gmail.com,,MONCLOA-ARAVACA,CIUDAD UNIVERSITARIA,FAMILIAS,COMUNIDAD DE MADRID,68,,
3851,ASOCIACION RAFIKI,CALLE,JOSE DEL HIERRO,10,PISO 3º. PUERTA B,28027,MADRID,G86438553,30/09/2020,636364524,info@asociacionrafiki.org,,CIUDAD LINEAL,QUINTANA,DE PERSONAS CON DISCAPACIDAD,COMUNIDAD DE MADRID,51,,
3850,ASOCIACION VECINAL Y CULTURAL DE LETRAS,CALLE,HUERTAS,22,PISO 3º IZQUIERDA,28014,MADRID,G88618103,30/09/2020,654127129,avcletras@gmail.com,,CENTRO,CORTES,VECINALES,COMUNIDAD DE MADRID,54,,
3849,ASOCIACION CULTURAL FABULA DIBUJO Y JUEGO,CALLE,GUILLERMO DE OSMA,17,PLANTA BAJA PUERTA 3,28045,MADRID,G82475252,03/09/2020,651529566,asociacionfabula@gmail.com,https://asociacionfabula.blogspot.com,ARGANZUELA,CHOPERA,CULTURALES Y CASAS REGIONALES,ESTATAL,24,,
3848,CLUB DEPORTIVO BASICO SPORT SCHOOL AND COMPANY,CALLE,RIBADAVIA,35,2º-PUERTA 2,28029,MADRID,G88175443,30/09/2020,636046864,ssc@sscsport.es,,FUENCARRAL-EL PARDO,EL PILAR,DEPORTIVAS,COMUNIDAD DE MADRID,63,,
3847,ASOCIACION INSTITUTO GNOSTICO DE ANTROPOLOGIA SAMAEL Y LITELANTES,CALLE,CELANOVA,2,,28029,MADRID,G83187401,30/09/2020,660785986,smps1969@yahoo.es,http://www.gnosis.es,FUENCARRAL-EL PARDO,EL PILAR,VECINALES,ESTATAL,266,,
3845,ASOCIACION CULTURAL LEGADO DE ARTURO SORIA (ACLAS),CALLE,VALDECALERAS,3,1º C,28043,MADRID,G88506365,15/09/2020,667659336,cristina.keller@legadoarturosoria.es,http://www.legadoarturosoria.es,HORTALEZA,CANILLAS,CULTURALES Y CASAS REGIONALES,ESTATAL,28,,
3843,ASOCIACION CULTURAL Y PEDAGOGICA EL ARENERO,CALLE,LABRADOR,20,,28005,MADRID,G86905916,15/09/2020,699956446,arenerocrianza@gmail.com,http://elarenero.org/,ARGANZUELA,ACACIAS,CULTURALES Y CASAS REGIONALES,COMUNIDAD DE MADRID,59,,
3842,CLUB DEPORTIVO ELEMENTAL PADEL LORD,AVENIDA,DE LOS TOREROS,75,BAJO DERECHA,28028,MADRID,G88333505,15/09/2020,699620365,GERENCIACLUB75@GMAIL.COM,,SALAMANCA,VALDERRIVAS,DEPORTIVAS,COMUNIDAD DE MADRID,22,,
3841,ASOCIACION DANZA DOWN,CALLE,ALBENDIEGO,26,LOCAL,28029,MADRID,G84880012,10/09/2020,685646541,danzadownelias@gmail.com,http://www.danzadown.es,TETUAN,ALMENARA,DE PERSONAS CON DISCAPACIDAD,ESTATAL,140,,
3839,ASOCIACION CULTURAL ESPIRALARTE,AVENIDA,CARABANCHEL ALTO,110,PORTAL 3. PUERTA C,28044,MADRID,G87129300,10/09/2020,635091643,asociacionespiralarte@gmail.com,,CARABANCHEL,BUENAVISTA,CULTURALES Y CASAS REGIONALES,ESTATAL,54,,
3838,ASOCIACION A.C.E.H. AUTONOMOS COMERCIANTES EMPRENDEDORES HOSTELERIA SAN BLAS CANILLEJAS,CALLE,VIRGEN DE LA OLIVA,53,LOC. ESCALERA POST,28037,MADRID,G86960200,27/08/2020,616776618,presidencia@asociacionaceh.com,http://WWW.ASOCIACIONACEH.COM,SAN BLAS-CANILLEJAS,SIMANCAS,COMERCIANTES.EMPRESARIOS.PROFESIONALES Y AUTÓNOMOS,COMUNIDAD DE MADRID,54,,
3837,ASOCIACION DE VECINOS AV CAÑAVERAL (ASOCIACION VECINAL CAÑAVERAL),CALLE,VILLABLANCA,35,,28032,MADRID,G88508833,27/08/2020,644681518,AVCANAVERAL.COMUNICACIONES@GMAIL.COM,,VICALVARO,CASCO H.VICALVARO,VECINALES,COMUNIDAD DE MADRID,43,,
3836,ASOCIACION DE CENTROS DE FORMACION PROFESIONAL FPEMPRESA,CALLE,PADRE AMIGO,5,,28025,MADRID,G47701933,27/08/2020,633807482,info@fpempresa.net,http://www.fpempresa.net,CARABANCHEL,PUERTA BONITA,OTRAS DE ACCIÓN SOCIAL,ESTATAL,272,,
3833,ASOCIACION PADRES Y MADRES DE ALUMNOS DEL IES ANA FRANK (AMPA DEL IES ANA FRANK),CALLE,ARROYO POZUELO,S/N,IES ANA FRANK,28023,MADRID,G88512496,27/08/2020,649396940,ampaiesanafrank@gmail.com,,MONCLOA-ARAVACA,ARAVACA,DE MADRES Y PADRES DEL ALUMNADO,COMUNIDAD DE MADRID,27,,
3832,ASOCIACION DE MEDIACION PARA LA PACIFICACION DE CONFLICTOS,CALLE,SAGASTA,20,3º IZQ,28004,MADRID,G84213859,27/08/2020,652084028,fca_lozano@hotmail.com,http://www.mediacionypacificacion.es/index.php/es/,CENTRO,JUSTICIA,OTRAS DE ACCIÓN SOCIAL,ESTATAL,12,,
3831,ASOCIACION GRIGRI PROYECTOS SOCIOCULTURALES - AGPS,CALLE,LOZANO,17,2º A,28053,MADRID,G87872776,27/08/2020,664822602,hola@grigriprojects.org,http://www.grigriprojects.org,PUENTE VALLECAS,SAN DIEGO,OTRAS DE ACCIÓN SOCIAL,ESTATAL,4,,
3830,ASOCIACION CULTURAL LA ESTACION DEL ARTE,CALLE,SIERRA VIEJA,74,ESC A 1º D,28031,MADRID,G88579198,27/08/2020,645653638,info.laestaciondelarte@gmail.com,,VILLA VALLECAS,CASCO H.VALLECAS,CULTURALES Y CASAS REGIONALES,ESTATAL,3,,
383,ASOCIACION DE PADRES DE ALUMNOS COLEGIO PUBLICO ALCALDE DE MOSTOLES,CALLE,ALDEANUEVA DE LA VERA,9,,28044,MADRID,G28872158,10/05/1989,917107716,ampa_alcalde@hotmail.es,http://www.ampalavera.es,LATINA,LAS AGUILAS,DE MADRES Y PADRES DEL ALUMNADO,BARRIO,34,407,"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS"""
3829,ASOCIACION ESPACIO OLMO,CALLE,OLMO,18,BAJO,28012,MADRID,G88605738,27/08/2020,655490110,espacioolmo@gmail.com,,CENTRO,EMBAJADORES,OTRAS DE ACCIÓN SOCIAL,COMUNIDAD DE MADRID,11,,
3827,ASOCIACION DE MUJERES DIRECTIVAS. PROFESIONALES Y EMPRESARIAS DE LA COMUNIDAD DE MADRID (AMDIPECAM),CALLE,PEÑA GORBEA,2,6º,28053,MADRID,G88059423,27/08/2020,689487382,amdipecam@gmail.com,,PUENTE VALLECAS,SAN DIEGO,DE MUJERES,COMUNIDAD DE MADRID,13,,
3824,CLUB DEPORTIVO ELEMENTAL NATACION CHI BOI,CALLE,SIERRA DE ALCARAZ,28,3º B,28053,MADRID,G87569695,26/08/2020,637266543,cnchiboi@gmail.com,http://www.cnchiboi.com,PUENTE VALLECAS,SAN DIEGO,DEPORTIVAS,COMUNIDAD DE MADRID,5,,
3822,ASOCIACION DE CLUBES DEPORTIVOS DE BARAJAS DEPORTE BARAJAS,CALLE,BANDE,32,,28042,MADRID,G88582515,26/08/2020,680589251,fmedinaceb@gmail.com,,BARAJAS,CORRALEJOS,DEPORTIVAS,COMUNIDAD DE MADRID,8,,
3821,ASOCIACION DE MADRES Y PADRES DE ALUMNOS DEL CEIP VALDEBEBAS DE MADRID,CALLE,FELIX CANDELA,24,,28055,MADRID,G87862215,26/08/2020,615897424,ampavaldebebas@gmail.com,http://www.ampavaldebebas.es,HORTALEZA,LOS CARMENES,DE MADRES Y PADRES DEL ALUMNADO,COMUNIDAD DE MADRID,382,,
3819,ASOCIACION ESPACIO SOCIOCULURAL LA SALAMANDRA,CALLE,ARROYO DE LA MEDIA LEGUA,41,7º B,28030,MADRID,G88364682,25/08/2020,635274555,eslasalamandra@gmail.com,http://lasalamandra.info/,MORATALAZ,MEDIA LEGUA,CULTURALES Y CASAS REGIONALES,COMUNIDAD DE MADRID,156,,
3818,CLUB DEPORTIVO SANTA EUGENIA 1976,CALLE,PUENTELARRA,1,ESC 1. 1º-D,28031,MADRID,G81261489,25/08/2020,609662086,sac@ceviconsulting.com,,VILLA VALLECAS,SANTA EUGENIA,DEPORTIVAS,COMUNIDAD DE MADRID,200,,
3817,ASOCIACION DE EMPRESARIOS Y COMERCIANTES DE LAS TABLAS-MONTECARMELO (ASTAMON),CALLE,PALAS DE REY,22,,28050,MADRID,G84827484,25/08/2020,915484538,amoreno@pedrosoygomez.com,,FUENCARRAL-EL PARDO,VALVERDE,COMERCIANTES.EMPRESARIOS.PROFESIONALES Y AUTÓNOMOS,COMUNIDAD DE MADRID,40,,
3815,ASOCIACION CONTRA LA SOLEDAD EN PERSONAS MAYORES Y OTROS GRUPOS SOCIALES,CALLE,MELENDEZ VALDES,24,PLANTA BAJA,28015,MADRID,G88137252,24/07/2020,659464207,asociacioncontralasoledad@gmail.com,http://www.contralasoledad.com,CHAMBERI,ARAPILES,DE PERSONAS MAYORES. JUBILADAS Y PENSIONISTAS,ESTATAL,53,,
3814,ASOCIACION CULTURAL TRAFICANTES DE SUEÑOS,CALLE,DUQUE DE ALBA,13,,28012,MADRID,G81970477,24/07/2020,696000599,libreria@traficantes.net,http://www.traficantes.net,CENTRO,EMBAJADORES,CULTURALES Y CASAS REGIONALES,ESTATAL,110,,
3813,ASOCIACION PINK PEACE,CALLE,RODRIGUEZ SAN PEDRO,32,,28015,MADRID,G87841037,24/07/2020,601052768,SALUD@PINKPEACE.ORG,,CHAMBERI,ARAPILES,DE SALUD Y APOYO MUTUO,ESTATAL,21,,
3812,ASOCIACION CULTURAL HISPANO POLACA FORUM,CALLE,COSTA RICA,12,3º 35,28016,MADRID,G81469876,27/07/2017,609018436,sekretariatforum@gmail.com,,CHAMARTIN,HISPANOAMERICA,DE ESTUDIANTES /ALUMNADO,ESTATAL,3,,
3810,ASOCIACION DE PROPIETARIOS DEL AMBITO DE ACTUACION DE ORDENACION URBANA. APR 09-05,PASEO,MAESTRA MARIA SANCHEZ ARBOS,18,,28039,MADRID,G88421383,24/07/2020,650036143,asociacionapr0905.presidente@gmail.com,http://www.asociacionapr0905.com,MONCLOA-ARAVACA,VALDEZARZA,VECINALES,COMUNIDAD DE MADRID,376,,
381,ASOCIACION DE VECINOS LA UNION COLONIA DE ALMENDRALES,CALLE,PORTA COELI,2,BJ. D,28026,MADRID,G79632626,26/04/1989,914769178,avvalmendrales@hotmail.com,http://WWW.avlaunionalmendrales.wordpress.com/,USERA,ALMENDRALES,VECINALES,BARRIO,590,67,FEDERACION REGIONAL DE ASOCIACIONES VECINALES DE MADRID - FRAVM
3808,CLUB DEPORTIVO BASICO ATLETICO DEL PILAR C.F.,AVENIDA,BETANZOS,81,,28034,MADRID,G87740288,24/07/2020,647916273,luis@atleticodelpilar.com,,FUENCARRAL-EL PARDO,PEÑA GRANDE,DEPORTIVAS,COMUNIDAD DE MADRID,5,,
3807,ASOCIACION DE PERIODISTAS GRAFICOS EUROPEOS,CALLE,MONTE ESQUINZA,41,PISO 1º. LETRA D,28010,MADRID,G81368060,04/03/2020,915633179,apge@apge.org,www.apge.org,CHAMBERI,ALMAGRO,DE COMUNICACIÓN,ESTATAL,589,,
3805,ASOCIACION DE MUJERES LATINOAMERICANAS AMALGAMA,CALLE,ALONDRA,16,4º - C,28025,MADRID,G85878874,24/02/2020,698239298,amalgama.asociacion@gmail.com,,CARABANCHEL,VISTA ALEGRE,DE MUJERES,ESTATAL,14,,
3804,ASPAFES,CALLE,FERMIN CABALLERO,38,2º - D,28034,MADRID,G28678563,17/02/2020,917398040,jguzman@aspafes.es,http://www.aspafes.es,FUENCARRAL-EL PARDO,LA PAZ,DE PERSONAS CON DISCAPACIDAD,COMUNIDAD DE MADRID,352,,
3803,ACCION 2030,CALLE,FRANCISCO VILLAESPESA,10,PORTAL L-40. PLANTA BAJA,28017,MADRID,G88395306,17/02/2020,912939787,javier.zarco@accion-2030.es,,CIUDAD LINEAL,PUEBLO NUEVO,OTRAS DE ACCIÓN SOCIAL,ESTATAL,3,,
3802,CLUB DEPORTIVO ARQUITECTURA,CALLE,ARQUITECTO LOPEZ OTERO,2,,28040,,G78105228,17/02/2020,649915268,delegado@arquitectura-rugby.org,,SIN DETERMINAR,,DEPORTIVAS,COMUNIDAD DE MADRID,536,,
3801,VERMU ROCKS,CALLE,MATILDE GAYO,2,PLANTA 6ª. PUERTA B,28026,MADRID,G88099320,14/02/2020,655167077,vermushop@gmail.com,,USERA,MOSCARDO,CULTURALES Y CASAS REGIONALES,ESTATAL,78,,
